metadata field,Child Doc Octiv ID,parent begdoc id,Parent Doc Octiv ID
parent_begdoc,2719196,CTRL00019234,2719197
parent_begdoc,2719192,CTRL00019244,2719193
parent_begdoc,2719194,CTRL00019244,2719193
parent_begdoc,2719195,CTRL00019244,2719193
parent_begdoc,2719189,CTRL00019629,2719188
parent_begdoc,2719190,CTRL00019629,2719188
parent_begdoc,2719191,CTRL00019629,2719188
parent_begdoc,2719183,CTRL00019663,2719184
parent_begdoc,2719185,CTRL00019663,2719184
parent_begdoc,2719186,CTRL00019663,2719184
parent_begdoc,2719187,CTRL00019663,2719184
parent_begdoc,2719179,CTRL00019615,2719178
parent_begdoc,2719180,CTRL00019615,2719178
parent_begdoc,2719181,CTRL00019615,2719178
parent_begdoc,2719182,CTRL00019615,2719178
parent_begdoc,2719174,CTRL00019249,2719175
parent_begdoc,2719176,CTRL00019249,2719175
parent_begdoc,2719177,CTRL00019249,2719175
parent_begdoc,2719169,CTRL00019514,2719170
parent_begdoc,2719171,CTRL00019514,2719170
parent_begdoc,2719172,CTRL00019514,2719170
parent_begdoc,2719173,CTRL00019514,2719170
parent_begdoc,2719161,CTRL00019766,2719160
parent_begdoc,2719162,CTRL00019766,2719160
parent_begdoc,2719163,CTRL00019766,2719160
parent_begdoc,2719164,CTRL00019766,2719160
parent_begdoc,2719165,CTRL00019766,2719160
parent_begdoc,2719166,CTRL00019766,2719160
parent_begdoc,2719167,CTRL00019766,2719160
parent_begdoc,2719168,CTRL00019766,2719160
parent_begdoc,2719156,CTRL00019562,2719155
parent_begdoc,2719157,CTRL00019562,2719155
parent_begdoc,2719158,CTRL00019562,2719155
parent_begdoc,2719159,CTRL00019562,2719155
parent_begdoc,2719152,CTRL00019765,2719154
parent_begdoc,2719153,CTRL00019765,2719154
parent_begdoc,2719149,CTRL00019672,2719151
parent_begdoc,2719150,CTRL00019672,2719151
parent_begdoc,2719141,CTRL00019654,2719140
parent_begdoc,2719142,CTRL00019654,2719140
parent_begdoc,2719143,CTRL00019654,2719140
parent_begdoc,2719144,CTRL00019654,2719140
parent_begdoc,2719145,CTRL00019654,2719140
parent_begdoc,2719146,CTRL00019654,2719140
parent_begdoc,2719147,CTRL00019654,2719140
parent_begdoc,2719148,CTRL00019654,2719140
parent_begdoc,2719132,CTRL00019561,2719133
parent_begdoc,2719134,CTRL00019561,2719133
parent_begdoc,2719135,CTRL00019561,2719133
parent_begdoc,2719136,CTRL00019561,2719133
parent_begdoc,2719137,CTRL00019561,2719133
parent_begdoc,2719138,CTRL00019561,2719133
parent_begdoc,2719139,CTRL00019561,2719133
parent_begdoc,2719129,CTRL00019683,2719128
parent_begdoc,2719130,CTRL00019683,2719128
parent_begdoc,2719131,CTRL00019683,2719128
parent_begdoc,2719110,CTRL00019575,2719112
parent_begdoc,2719111,CTRL00019575,2719112
parent_begdoc,2719113,CTRL00019575,2719112
parent_begdoc,2719114,CTRL00019575,2719112
parent_begdoc,2719115,CTRL00019575,2719112
parent_begdoc,2719116,CTRL00019575,2719112
